Date,Weekly Gulf Coast No 2 Diesel Retail Prices  (Dollars per Gallon),,
"Sep 01, 2008",4.068,,
"Sep 08, 2008",4.015,,
"Sep 15, 2008",4.011,,
"Sep 22, 2008",3.924,,
"Sep 29, 2008",3.929,,
"Oct 06, 2008",3.843,,
"Oct 13, 2008",3.631,,
"Oct 20, 2008",3.453,,
"Oct 27, 2008",3.219,,
"Nov 03, 2008",3.033,,
"Nov 10, 2008",2.895,,
"Nov 17, 2008",2.745,,
"Nov 24, 2008",2.598,,
"Dec 01, 2008",2.556,,
"Dec 08, 2008",2.465,,
"Dec 15, 2008",2.378,,
"Dec 22, 2008",2.306,,
"Dec 29, 2008",2.264,,
"Jan 05, 2009",2.228,,
"Jan 12, 2009",2.244,,
"Jan 19, 2009",2.227,,
"Jan 26, 2009",2.202,,
"Feb 02, 2009",2.189,,
"Feb 09, 2009",2.156,,
"Feb 16, 2009",2.133,,
"Feb 23, 2009",2.074,,
"Mar 02, 2009",2.043,,
"Mar 09, 2009",2.006,,
"Mar 16, 2009",1.973,,
"Mar 23, 2009",2.06,,
"Mar 30, 2009",2.203,,
"Apr 06, 2009",2.21,,
"Apr 13, 2009",2.202,,
"Apr 20, 2009",2.186,,
"Apr 27, 2009",2.171,,
"May 04, 2009",2.153,,
"May 11, 2009",2.198,,
"May 18, 2009",2.21,,
"May 25, 2009",2.242,,
"Jun 01, 2009",2.323,,
"Jun 08, 2009",2.474,,
"Jun 15, 2009",2.543,,
"Jun 22, 2009",2.583,,
"Jun 29, 2009",2.569,,
"Jul 06, 2009",2.547,,
"Jul 13, 2009",2.494,,
"Jul 20, 2009",2.443,,
"Jul 27, 2009",2.493,,
"Aug 03, 2009",2.513,,
"Aug 10, 2009",2.581,,
"Aug 17, 2009",2.607,,
"Aug 24, 2009",2.622,,
"Aug 31, 2009",2.618,,
"Sep 07, 2009",2.575,,
"Sep 14, 2009",2.555,,
"Sep 21, 2009",2.542,,
"Sep 28, 2009",2.525,,
"Oct 05, 2009",2.518,,
"Oct 12, 2009",2.53,,
"Oct 19, 2009",2.644,,
"Oct 26, 2009",2.74,,
